사용일자,요일,노선명,역명,승차총승객수,하차총승객수,승하차총승객수,연월,월일,등록일자
2019-02-01,금,1호선,남영,11807,12168,23975,Feb-19,02월 01일,20190204
2019-02-01,금,1호선,용산,42941,52734,95675,Feb-19,02월 01일,20190204
2019-02-01,금,1호선,노량진,14228,12861,27089,Feb-19,02월 01일,20190204
2019-02-01,금,1호선,대방,16081,15427,31508,Feb-19,02월 01일,20190204
2019-02-01,금,1호선,영등포,52813,58182,110995,Feb-19,02월 01일,20190204
2019-02-01,금,2호선,신도림,4070,4132,8202,Feb-19,02월 01일,20190204
2019-02-01,금,1호선,신길,10966,8828,19794,Feb-19,02월 01일,20190204
2019-02-01,금,1호선,구로,22331,23321,45652,Feb-19,02월 01일,20190204
2019-02-01,금,1호선,가산디지털단지,19091,22055,41146,Feb-19,02월 01일,20190204
2019-02-01,금,1호선,금천구청,13191,12585,25776,Feb-19,02월 01일,20190204
2019-02-01,금,1호선,석수,11992,10584,22576,Feb-19,02월 01일,20190204
2019-02-01,금,1호선,관악,8706,8153,16859,Feb-19,02월 01일,20190204
2019-02-01,금,1호선,안양,26113,26494,52607,Feb-19,02월 01일,20190204
2019-02-01,금,1호선,명학,10508,10371,20879,Feb-19,02월 01일,20190204
2019-02-01,금,4호선,금정,29410,29297,58707,Feb-19,02월 01일,20190204
2019-02-01,금,1호선,군포,8122,7936,16058,Feb-19,02월 01일,20190204
2019-02-01,금,1호선,의왕,10607,9584,20191,Feb-19,02월 01일,20190204
2019-02-01,금,1호선,성균관대,16899,15551,32450,Feb-19,02월 01일,20190204
2019-02-01,금,1호선,화서,8684,8544,17228,Feb-19,02월 01일,20190204
2019-02-01,금,1호선,수원,44179,50246,94425,Feb-19,02월 01일,20190204
2019-02-01,금,1호선,독산,19290,20028,39318,Feb-19,02월 01일,20190204
2019-02-01,금,1호선,세류,4271,3870,8141,Feb-19,02월 01일,20190204
2019-02-01,금,1호선,병점,16950,15190,32140,Feb-19,02월 01일,20190204
2019-02-01,금,4호선,서울역,57827,63370,121197,Feb-19,02월 01일,20190204
2019-02-01,금,1호선,세마,3197,2783,5980,Feb-19,02월 01일,20190204
2019-02-01,금,1호선,오산대,3196,2800,5996,Feb-19,02월 01일,20190204
2019-02-01,금,1호선,오산,11180,10057,21237,Feb-19,02월 01일,20190204
2019-02-01,금,1호선,진위,1909,1467,3376,Feb-19,02월 01일,20190204
2019-02-01,금,1호선,송탄,5232,4803,10035,Feb-19,02월 01일,20190204
2019-02-01,금,1호선,서정리,5040,4326,9366,Feb-19,02월 01일,20190204
2019-02-01,금,1호선,지제,2913,2645,5558,Feb-19,02월 01일,20190204
2019-02-01,금,1호선,평택,14258,13070,27328,Feb-19,02월 01일,20190204
2019-02-01,금,1호선,성환,3940,3398,7338,Feb-19,02월 01일,20190204
2019-02-01,금,1호선,직산,1037,942,1979,Feb-19,02월 01일,20190204
2019-02-01,금,1호선,두정,5677,5649,11326,Feb-19,02월 01일,20190204
2019-02-01,금,1호선,천안,6115,6432,12547,Feb-19,02월 01일,20190204
2019-02-01,금,1호선,당정,7515,7036,14551,Feb-19,02월 01일,20190204
2019-02-01,금,1호선,서동탄,1947,1650,3597,Feb-19,02월 01일,20190204
2019-02-01,금,1호선,광명,2922,2892,5814,Feb-19,02월 01일,20190204
2019-02-01,금,1호선,개봉,26034,26284,52318,Feb-19,02월 01일,20190204
2019-02-01,금,1호선,오류동,13144,12204,25348,Feb-19,02월 01일,20190204
2019-02-01,금,1호선,역곡,32928,31667,64595,Feb-19,02월 01일,20190204
2019-02-01,금,1호선,부천,42789,44311,87100,Feb-19,02월 01일,20190204
2019-02-01,금,1호선,송내,34844,34271,69115,Feb-19,02월 01일,20190204
2019-02-01,금,1호선,부평,40616,46287,86903,Feb-19,02월 01일,20190204
2019-02-01,금,1호선,백운,9084,8661,17745,Feb-19,02월 01일,20190204
2019-02-01,금,1호선,동암,19208,19132,38340,Feb-19,02월 01일,20190204
2019-02-01,금,1호선,주안,24034,21794,45828,Feb-19,02월 01일,20190204
2019-02-01,금,1호선,제물포,11346,10576,21922,Feb-19,02월 01일,20190204
2019-02-01,금,1호선,동인천,17742,16990,34732,Feb-19,02월 01일,20190204
2019-02-01,금,1호선,인천,3663,2806,6469,Feb-19,02월 01일,20190204
2019-02-01,금,1호선,구일,6885,6857,13742,Feb-19,02월 01일,20190204
2019-02-01,금,1호선,소사,11251,10297,21548,Feb-19,02월 01일,20190204
2019-02-01,금,1호선,부개,10362,9571,19933,Feb-19,02월 01일,20190204
